source,property_label,address,rent_total_usd,layout,beds,baths,max_residents,unit_numbers,move_in_dates,lease_term_notes,parking,parking_cost_per_year_usd,notes,contact_email,contact_phone,website,last_updated,unit,status,included_utilities,smoking_policy,pets,details_url
KAMAP_pdf,Aladdin,6512 Segovia,3060.0,2 Singles - 1 Bath,,1.0,2.0,111;112;214;303,9/11;9/8;9/9;9/3,,,,"# 111 (9/11), 112 (9/8), 214 (9/9), 303 (9/3)",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Seaside,6522 Sabado Tarde,5700.0,2 Bed - 2 Bath,2.0,2.0,,6,9/18,,,,# 6 (9/18) Parking $900 year,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Laguna,6531 Sabado Tarde,5700.0,2 Bed - 2 Bath,2.0,2.0,,A05;A08;A11;B07;B08,7/31;7/29;8/6;7/8;8/14,,Available,,"A05 (7/31), A08 (7/29), A11 (8/6), B07 (7/8), B08 (8/14) Private Balcony Parking Available",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Laguna,6531 Sabado Tarde,5700.0,2 Bed - 2 Bath,2.0,2.0,,B04,8/30,,,1000,B04 (8/30) End Units with 4 Private Balconies $1000 per year,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Carriage House/Park Place,6510 Picasso + 796 EDN Updated building (w/ 2 addresses),5700.0,4 Person - 2 Bath,,2.0,4.0,114;206;209;214;223;225;227;229;230;231,7/30;8/26;9/8;8/19;7/30;7/24;7/31;9/8;7/24;7/24,,,,"# 114 (7/30), 206 (8/26), 209 (9/8), 214 (8/19), 223 (7/30), 225 (7/24), 227 (7/31), 229 (9/8), 230 (7/24), 231 (7/24) Double + 2 Singles (closed off)",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Carriage House/Park Place,6510 Picasso + 796 EDN Updated building (w/ 2 addresses),5700.0,4 Person - 2 Bath,,2.0,4.0,,8/14/2026,,Available,,# 105 Double + 2 Singles (don't completely close off) + Private Patio - 8/14/2026 Parking Available,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Carriage House/Park Place,6510 Picasso + 796 EDN Updated building (w/ 2 addresses),5800.0,4 Person - 2 Bath,,2.0,4.0,113;115;210,9/18;7/30;8/7,,,1000,"# 113 (9/18), 115 (7/30), 210 (8/7) Four Singles (two completely close off) $1000 per year",PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,Carriage House/Park Place,6510 Picasso + 796 EDN Updated building (w/ 2 addresses),6800.0,4 Singles - 2 Bath,,2.0,4.0,,8/14/2026,,,,# 103 8/14/2026 Four Singles All Completely Close Off + Private Patio,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,,6518 El Nido,7100.0,4 Singles - 2 Bath 6518 El Nido #2 (08/24/2026) Split Floor Plan,,2.0,4.0,,,,,,- 4 singles (Singles all close off) Parking $1000 yr,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
KAMAP_pdf,,6518 El Nido,8500.0,6,,,,,9/11/2026,,,,Peson - 3 Bath 938 Camino Corto A - 9/11/2026 Three Bedroom - Three Bath - Free Washer/Dryer Tons of Free Parking,PROPERTIES@KAMAP.net,(805) 685-2627,www.KAMAP.net,2/13/2026 2:20 PM,,,,,,
ivproperties_web,,"6512 Del Playa Drive, Isla Vista, CA",,,3.0,2.0,6.0,,,,,,,,,,,Unit 1,Currently leased through June 2027,Water; Landscape Maintenance,100% non-smoking property,No pets,https://www.ivproperties.com/properties/6512-del-playa-drive-unit-1/
ivproperties_web,,"6512 Del Playa Drive, Isla Vista, CA",,,3.0,2.0,6.0,,,,,,,,,,,Unit 2,Currently leased through June 2027,Water; Landscape Maintenance,100% non-smoking property,No pets,https://www.ivproperties.com/properties/6512-del-playa-drive-unit-2/
ivproperties_web,,"6522 Del Playa Drive, Isla Vista, CA",,,3.0,2.0,6.0,,,,,,,,,,,Unit A,Currently leased through June 2027,Landscape Maintenance,100% non-smoking property,No pets,https://www.ivproperties.com/properties/6522-del-playa-drive-unit-a/
ivproperties_web,,"6522 Del Playa Drive, Isla Vista, CA",,,3.0,2.0,6.0,,,,,,,,,,,Unit B,Currently leased through June 2027,Landscape Maintenance,100% non-smoking property,No pets,https://www.ivproperties.com/properties/6522-del-playa-drive-unit-b/
ivproperties_web,,"6697 Del Playa Drive, Isla Vista, CA",,,4.0,2.0,8.0,,,,,,,,,,,Main House,Currently leased through June 2027,Landscape Maintenance,100% non-smoking property,No pets,https://www.ivproperties.com/properties/6697-del-playa-drive-main-house/
ivproperties_web,,"6697 Del Playa Drive, Isla Vista, CA",,,0.0,1.0,2.0,,,,,,,,,,,Unit A,Currently leased through June 2027,Landscape Maintenance,100% non-smoking property,No pets,https://www.ivproperties.com/properties/6697-del-playa-drive-unit-a/
